game_id,commence_time,in_play,bookmaker,last_update,home_team,away_team,market,label,description,price,point
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Oneil Cruz,6,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Oneil Cruz,35,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Xander Bogaerts,10,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Xander Bogaerts,50,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Nick Gonzales,50,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Nick Gonzales,10,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Fernando Tatis Jr.,40,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Fernando Tatis Jr.,7,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Bryan Reynolds,50,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Bryan Reynolds,10,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Luis Campusano,50,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Luis Campusano,10,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Jake Cronenworth,10,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Jake Cronenworth,50,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Joey Bart,50,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Joey Bart,10,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Ryan O'Hearn,8,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Ryan O'Hearn,45,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Miguel Andujar,10,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Miguel Andujar,50,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Spencer Horwitz,10,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Spencer Horwitz,50,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Brandon Lowe,6,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Brandon Lowe,35,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Jackson Merrill,7,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Jackson Merrill,40,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Gavin Sheets,50,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Gavin Sheets,10,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Ramon Laureano,7,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Ramon Laureano,40,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Konnor Griffin,10,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Konnor Griffin,50,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Marcell Ozuna,40,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Marcell Ozuna,7,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Nick Castellanos,50,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Nick Castellanos,10,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Jake Mangum,10,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Jake Mangum,50,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Nick Yorke,50,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetOnline.ag,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Nick Yorke,10,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Oneil Cruz,6,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Brandon Lowe,6.25,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Fernando Tatis Jr.,8,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Ramon Laureano,8,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Ryan O'Hearn,8.5,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Jackson Merrill,8.5,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Gavin Sheets,9.5,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Bryan Reynolds,9.5,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Joey Bart,10.5,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Nick Gonzales,10.5,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Nick Castellanos,10.5,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Spencer Horwitz,10.5,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Nick Yorke,10.5,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Miguel Andujar,12,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Luis Campusano,12,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Jake Cronenworth,14,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Xander Bogaerts,14,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Jake Mangum,21,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Brandon Lowe,71,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Brandon Lowe,6.25,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Oneil Cruz,61,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,Caesars,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Oneil Cruz,6,0.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Ryan O'Hearn,101,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Oneil Cruz,200,2.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Joey Bart,151,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Bryan Reynolds,200,2.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Oneil Cruz,56,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Brandon Lowe,61,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Spencer Horwitz,200,2.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Brandon Lowe,200,2.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Spencer Horwitz,111,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Nick Gonzales,141,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Joey Bart,200,2.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Ryan O'Hearn,200,2.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Bryan Reynolds,81,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Nick Gonzales,200,2.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Gavin Sheets,91,1.5
d52d861ea5ed462b15486ffb7493bbc4,4/8/2026,FALSE,BetRivers,4/8/2026,Pittsburgh Pirates,San Diego Padres,batter_home_runs,Over,Ramon Laureano,76,1.5
