date,player,team,salary,batting_order,blended_rating,actual_dk_pts,baseline_dk_pts,pts_diff
2026-06-27,Mickey Moniak,Colorado Rockies,4400,2,63.5,2.0,9.15,-7.15
2026-06-27,Bryan Reynolds,Pittsburgh Pirates,5300,3,74.5,6.0,11.38,-5.38
2026-06-27,Royce Lewis,Minnesota Twins,3600,6,78.4,-0.5,4.64,-5.14
2026-06-27,Bobby Witt,Kansas City Royals,6200,2,71.9,5.0,0.5,4.5
2026-06-27,Colson Montgomery,Chicago White Sox,4600,4,51.7,7.5,5.82,1.68
2026-06-27,Miguel Vargas,Chicago White Sox,4900,2,61.9,5.0,10.73,-5.73
2026-06-27,Hunter Goodman,Colorado Rockies,5200,3,52.8,45.5,6.89,38.61
2026-06-27,Dane Myers,Cincinnati Reds,2700,7,49.9,6.5,5.21,1.29
2026-06-27,Sal Stewart,Cincinnati Reds,4700,2,48.0,18.5,5.61,12.89
2026-06-27,Victor Caratini,Minnesota Twins,3300,5,72.8,4.5,6.2,-1.7
2026-06-27,Willi Castro,Colorado Rockies,4200,5,54.2,-0.5,6.9,-7.4
2026-06-27,Nathan Church,St. Louis Cardinals,2700,9,51.6,-1.0,3.85,-4.85
2026-06-27,Tyler Freeman,Colorado Rockies,3800,6,53.4,8.0,5.53,2.47
2026-06-27,Dylan Crews,Washington Nationals,3600,5,54.9,3.0,4.33,-1.33
2026-06-27,Carson Benge,New York Mets,3900,1,59.3,7.5,12.5,-5.0
2026-06-27,Bo Bichette,New York Mets,4400,3,54.1,6.5,9.29,-2.79
2026-06-27,Owen Caissie,Miami Marlins,2800,5,59.2,-1.0,7.4,-8.4
2026-06-27,Chase Meidroth,Chicago White Sox,3600,5,41.3,5.5,4.2,1.3
2026-06-27,Luke Keaschall,Minnesota Twins,3200,9,47.0,7.0,4.03,2.97
2026-06-27,Chandler Simpson,Tampa Bay Rays,3800,5,51.6,2.5,6.08,-3.58
2026-06-27,Nasim Nunez,Washington Nationals,3400,8,50.8,6.5,3.7,2.8
2026-06-27,Brooks Lee,Minnesota Twins,3500,7,66.0,10.0,4.29,5.71
2026-06-27,Colt Emerson,Seattle Mariners,3800,9,28.3,1.0,0.5,0.5
2026-06-27,Jeremiah Jackson,Baltimore Orioles,3100,8,47.7,5.0,4.03,0.97
2026-06-27,Sal Frelick,Milwaukee Brewers,3000,7,49.5,5.0,4.94,0.06
2026-06-27,Jakob Marsee,Miami Marlins,3700,6,41.2,6.0,4.68,1.32
2026-06-27,Tommy Troy,Arizona Diamondbacks,2500,9,50.4,-1.0,3.63,-4.63
2026-06-27,Ian Happ,Chicago Cubs,4300,7,42.6,16.5,5.12,11.38
2026-06-27,Taylor Walls,Tampa Bay Rays,2900,7,46.6,2.5,5.12,-2.62
2026-06-27,Mauricio Dubon,Atlanta Braves,3000,6,51.6,5.0,4.88,0.12
2026-06-27,Cedric Mullins,Tampa Bay Rays,3200,6,41.8,4.5,5.62,-1.12
2026-06-27,Elly De La Cruz,Cincinnati Reds,5100,1,44.7,1.5,7.93,-6.43
2026-06-27,Aj Ewing,New York Mets,3300,7,45.1,9.5,5.62,3.88
2026-06-27,Kyle Manzardo,Cleveland Guardians,2700,4,35.9,4.0,6.83,-2.83
2026-06-27,Richie Palacios,Tampa Bay Rays,3500,8,36.6,2.0,4.31,-2.31
2026-06-27,Luis Arraez,San Francisco Giants,3000,1,50.0,5.0,4.71,0.29
2026-06-27,Ozzie Albies,Atlanta Braves,3000,2,53.5,0.0,5.04,-5.04
2026-06-27,Freddy Fermin,San Diego Padres,3000,9,28.7,1.0,3.83,-2.83
2026-06-27,Bryson Stott,Philadelphia Phillies,3900,5,42.0,2.0,6.42,-4.42
2026-06-27,Rafael Devers,San Francisco Giants,3000,4,39.4,31.5,5.0,26.5
2026-06-27,Austin Riley,Atlanta Braves,3000,7,37.4,-0.5,5.1,-5.6
2026-06-27,Jorge Soler,Los Angeles Angels,3000,4,45.0,7.0,6.07,0.93
2026-06-27,Salvador Perez,Kansas City Royals,3600,6,34.6,4.5,4.36,0.14
2026-06-27,Joey Ortiz,Milwaukee Brewers,2400,9,24.1,3.0,3.0,0.0
2026-06-27,Jimmy Crooks,St. Louis Cardinals,2100,8,32.8,-1.5,3.56,-5.06
2026-06-27,Justin Crawford,Philadelphia Phillies,3200,8,39.4,2.5,4.55,-2.05
2026-06-27,Marcell Ozuna,Pittsburgh Pirates,3300,6,40.1,-1.5,6.03,-7.53
2026-06-27,Matt Chapman,San Francisco Giants,3000,7,17.4,1.5,5.04,-3.54
2026-06-27,Willy Adames,San Francisco Giants,3000,5,30.4,2.5,6.63,-4.13
2026-06-27,Patrick Bailey,Cleveland Guardians,2100,8,22.6,0.0,3.38,-3.38
2026-06-27,Jonah Heim,Athletics,3000,1,28.4,15.5,4.16,11.34
2026-06-27,Gabriel Arias,Cleveland Guardians,2000,7,13.1,7.5,1.6,5.9
2026-07-01,Shea Langeliers,Athletics,3000,1,48.9,16.5,7.73,8.77
2026-07-01,Christian Walker,Houston Astros,4000,4,57.2,-1.0,3.22,-4.22
2026-07-01,Otto Lopez,Miami Marlins,4300,1,71.7,3.0,10.9,-7.9
2026-07-01,Royce Lewis,Minnesota Twins,3600,5,56.9,6.0,6.0,0.0
2026-07-01,Kyle Tucker,Los Angeles Dodgers,3000,5,52.8,8.0,9.06,-1.06
2026-07-01,Mickey Moniak,Colorado Rockies,4400,2,36.4,33.0,4.06,28.94
2026-07-01,Heliot Ramos,San Francisco Giants,3000,5,46.5,26.0,8.0,18.0
2026-07-01,Ezequiel Tovar,Colorado Rockies,3900,9,37.9,2.0,0.0,2.0
2026-07-01,Luis Arraez,San Francisco Giants,3000,1,59.2,0.0,8.83,-8.83
2026-07-01,Jonah Heim,Athletics,3000,1,30.5,23.0,7.3,15.7
2026-07-01,Tommy Troy,Arizona Diamondbacks,2500,9,34.1,4.5,4.44,0.06
2026-07-01,Richie Palacios,Tampa Bay Rays,3500,8,38.6,-0.5,7.25,-7.75
