date,player,team,salary,batting_order,blended_rating,actual_dk_pts,baseline_dk_pts,pts_diff
2026-06-27,Cj Abrams,Washington Nationals,5500,4,93.8,0.5,14.86,-14.36
2026-06-27,Dominic Canzone,Seattle Mariners,3800,3,80.2,9.5,8.06,1.44
2026-06-27,Freddie Freeman,Los Angeles Dodgers,3000,3,90.6,17.0,6.86,10.14
2026-06-27,Nathaniel Lowe,Cincinnati Reds,3400,5,85.6,-1.0,4.18,-5.18
2026-06-27,Taylor Ward,Baltimore Orioles,4500,1,87.2,1.0,9.88,-8.88
2026-06-27,Gabriel Moreno,Arizona Diamondbacks,4000,4,86.4,3.0,7.83,-4.83
2026-06-27,Jordan Walker,St. Louis Cardinals,5200,4,79.2,6.0,17.0,-11.0
2026-06-27,Bryce Eldridge,San Francisco Giants,3000,6,67.6,6.0,4.84,1.16
2026-06-27,Otto Lopez,Miami Marlins,4300,2,82.6,15.0,7.7,7.3
2026-06-27,Drake Baldwin,Atlanta Braves,3000,4,68.3,-0.5,6.39,-6.89
2026-06-27,Brandon Lowe,Pittsburgh Pirates,5700,2,84.1,19.5,9.72,9.78
2026-06-27,Ketel Marte,Arizona Diamondbacks,5100,1,83.0,13.5,6.21,7.29
2026-06-27,Kyle Karros,Colorado Rockies,2500,8,71.9,17.5,2.11,15.39
2026-06-27,Michael Harris,Atlanta Braves,3000,1,69.2,6.5,4.63,1.87
2026-06-27,Tristan Peters,Chicago White Sox,2500,7,72.6,-1.0,3.96,-4.96
2026-06-27,Randy Arozarena,Seattle Mariners,5000,4,60.9,23.0,13.8,9.2
2026-06-27,Jj Bleday,Cincinnati Reds,4800,3,62.7,12.0,7.5,4.5
2026-06-27,Geraldo Perdomo,Arizona Diamondbacks,4000,2,74.9,13.0,12.35,0.65
2026-06-27,Jj Wetherholt,St. Louis Cardinals,4500,1,75.9,6.0,9.25,-3.25
2026-06-27,Tyler Soderstrom,Athletics,3000,1,65.2,-0.5,5.0,-5.5
2026-07-01,Sal Stewart,Cincinnati Reds,4700,2,95.5,3.0,9.5,-6.5
2026-07-01,William Contreras,Milwaukee Brewers,4600,3,92.3,7.0,10.5,-3.5
2026-07-01,Junior Caminero,Tampa Bay Rays,5800,3,90.8,14.5,6.5,8.0
2026-07-01,Yandy Diaz,Tampa Bay Rays,5200,1,90.5,-0.5,11.12,-11.62
2026-07-01,Ketel Marte,Arizona Diamondbacks,5100,1,88.8,21.5,5.62,15.88
2026-07-01,Gabriel Moreno,Arizona Diamondbacks,4000,4,88.7,4.5,2.61,1.89
2026-07-01,Jac Caglianone,Kansas City Royals,4800,3,77.4,6.0,7.9,-1.9
2026-07-01,Corbin Carroll,Arizona Diamondbacks,5600,3,65.9,1.0,8.2,-7.2
2026-07-01,Drake Baldwin,Atlanta Braves,3000,1,65.0,9.0,8.23,0.77
2026-07-01,Brandon Lowe,Pittsburgh Pirates,5700,2,50.9,4.5,10.93,-6.43
2026-07-01,Michael Harris,Atlanta Braves,3000,4,65.8,5.0,8.27,-3.27
2026-07-01,Joey Loperfido,Houston Astros,2600,8,49.6,4.0,4.54,-0.54
